file,line,code,http_status,context
"src/api/knowledge-routes.ts",111,"INVALID_INPUT",400,"return reply.status(400).send({ error: 'INVALID_INPUT', message: 'Space name is required' });"
"src/api/knowledge-routes.ts",364,"INVALID_INPUT",400,"return reply.status(400).send({ error: 'INVALID_INPUT', message: 'title, content, and spaceId are required' });"
"src/api/knowledge-routes.ts",508,"INVALID_INPUT",400,"return reply.status(400).send({ error: 'INVALID_INPUT', message: 'query is required' });"
"src/api/knowledge-routes.ts",552,"INVALID_INPUT",400,"return reply.status(400).send({ error: 'INVALID_INPUT', message: 'query is required' });"
"src/api/api-key-routes.ts",71,"CREATE_ERROR",500,"return reply.status(500).send({ error: 'CREATE_ERROR', message: error.message });"
"src/api/chaos-enhanced-routes.ts",58,"CREATE_ERROR",400,"return reply.status(400).send({ error: 'CREATE_ERROR', message });"
"src/api/api-key-routes.ts",86,"DELETE_ERROR",500,"return reply.status(500).send({ error: 'DELETE_ERROR', message: error.message });"
"src/api/audit-routes.ts",117,"SERVICE_UNAVAILABLE",503,"if (!service) return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not configured' });"
"src/api/audit-routes.ts",150,"SERVICE_UNAVAILABLE",503,"if (!service) return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not configured' });"
"src/api/audit-routes.ts",166,"SERVICE_UNAVAILABLE",503,"if (!service) return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not configured' });"
"src/api/audit-routes.ts",183,"SERVICE_UNAVAILABLE",503,"if (!service) return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not configured' });"
"src/api/audit-routes.ts",205,"SERVICE_UNAVAILABLE",503,"if (!service) return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not configured' });"
"src/api/audit-routes.ts",236,"SERVICE_UNAVAILABLE",503,"if (!service) return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not configured' });"
"src/api/audit-routes.ts",253,"SERVICE_UNAVAILABLE",503,"if (!service) return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not configured' });"
"src/api/audit-routes.ts",273,"SERVICE_UNAVAILABLE",503,"if (!service) return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not configured' });"
"src/api/audit-routes.ts",300,"SERVICE_UNAVAILABLE",503,"if (!service) return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not configured' });"
"src/api/audit-routes.ts",340,"SERVICE_UNAVAILABLE",503,"if (!service) return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not configured' });"
"src/api/controllers/ChatOpsController.ts",891,"SERVICE_UNAVAILABLE",503,"await reply.status(503).send({ success: false, error: 'SERVICE_UNAVAILABLE' });"
"src/api/controllers/ChatOpsController.ts",912,"SERVICE_UNAVAILABLE",503,"await reply.status(503).send({ success: false, error: 'SERVICE_UNAVAILABLE' });"
"src/api/controllers/ChatOpsController.ts",938,"SERVICE_UNAVAILABLE",503,"await reply.status(503).send({ success: false, error: 'SERVICE_UNAVAILABLE' });"
"src/api/controllers/ChatOpsController.ts",959,"SERVICE_UNAVAILABLE",503,"await reply.status(503).send({ success: false, error: 'SERVICE_UNAVAILABLE' });"
"src/api/workbench-routes.ts",26,"SERVICE_UNAVAILABLE",503,"return reply.status(503).send({ error: 'SERVICE_UNAVAILABLE', message: 'Database not connected' });"
"src/api/capability-routes.ts",95,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",107,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",139,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",203,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",233,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",262,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",280,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",330,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",348,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",375,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",436,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",448,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",527,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",581,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",599,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/capability-routes.ts",612,"INTERNAL_ERROR",500,"reply.status(500).send({ success: false, error: 'INTERNAL_ERROR', message: error instanceof Error ? error.message : 'Fai"
"src/api/controllers/EnvironmentController.ts",51,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to create environment' });"
"src/api/controllers/EnvironmentController.ts",82,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to list environments' });"
"src/api/controllers/EnvironmentController.ts",110,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to get environment' });"
"src/api/controllers/EnvironmentController.ts",143,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to update environment' });"
"src/api/controllers/EnvironmentController.ts",146,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to update environment' });"
"src/api/controllers/EnvironmentController.ts",165,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to delete environment' });"
"src/api/controllers/EnvironmentController.ts",168,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to delete environment' });"
"src/api/controllers/EnvironmentController.ts",205,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to update status' });"
"src/api/controllers/EnvironmentController.ts",208,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to update status' });"
"src/api/controllers/EnvironmentController.ts",245,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to lock environment' });"
"src/api/controllers/EnvironmentController.ts",248,"INTERNAL_ERROR",500,"reply.status(500).send({ error: 'INTERNAL_ERROR', message: 'Failed to lock environment' });"
